,capital,slippage,slippagePerCapital,yThreshold,rollingMean,fatRollingMean,timeBarrier,varianceRatioFilter,reverseVarianceRatioFilter,restAfterLoss,restAfterFatProfit,stopLossStdMultiplier,takeProfitStdMultiplier,varianceRatioCarreteParameter,varianceLookBack,varianceRatioCarrete,scanHalfTime,halfToFat,halfToLight,halfToTime
0,20000,2,0.0001,150.0,,,,1.0,1.0,4000.0,1.0,8000.0,4050.0,20.0,,,1000,2.0,1.5,2.0
1,20000,2,0.0001,1.5,,,,1.0,1.0,4000.0,1.0,80.0,40.5,20.0,,,1000,2.0,1.5,2.0
2,20000,2,0.0001,1.27,,,,1.0,1.0,4000.0,1.0,88.0,40.5,24.0,,,1000,2.2,1.5,2.0
3,20000,2,0.0001,1.27,,,,1.0,1.0,4000.0,1.0,88.0,40.5,24.0,,,1000,2.2,1.5,2.0
4,20000,2,0.0001,1.08,,,,1.0,1.0,4000.0,1.0,96.8,40.5,28.0,,,1000,2.42,1.5,2.0
5,20000,2,0.0001,1.08,,,,1.0,1.0,4000.0,1.0,96.8,40.5,28.0,,,1000,2.42,1.5,2.0
6,20000,2,0.0001,0.92,,,,1.0,1.0,4000.0,1.0,106.48,40.5,33.0,,,1000,2.662,1.5,2.0
7,20000,2,0.0001,0.92,,,,1.0,1.0,4000.0,1.0,106.48,40.5,33.0,,,1000,2.662,1.5,2.0
8,20000,2,0.0001,0.78,,,,1.0,1.0,4000.0,1.0,117.12,40.5,39.0,,,1000,2.928,1.5,2.0
9,20000,2,0.0001,0.78,,,,1.0,1.0,4000.0,1.0,117.12,40.5,39.0,,,1000,2.928,1.5,2.0
10,20000,2,0.0001,0.66,,,,1.0,1.0,4000.0,1.0,128.83,40.5,46.0,,,1000,3.221,1.5,2.0
11,20000,2,0.0001,0.66,,,,1.0,1.0,4000.0,1.0,128.83,40.5,46.0,,,1000,3.221,1.5,2.0
12,20000,2,0.0001,0.56,,,,1.0,1.0,4000.0,1.0,141.71,40.5,55.0,,,1000,3.543,1.5,2.0
