,capital,slippage,slippagePerCapital,yThreshold,rollingMean,fatRollingMean,timeBarrier,varianceRatioFilter,reverseVarianceRatioFilter,restAfterLoss,restAfterFatProfit,stopLossStdMultiplier,takeProfitStdMultiplier,varianceRatioCarreteParameter,varianceLookBack,varianceRatioCarrete,scanHalfTime,halfToFat,halfToLight,halfToTime
0,20000,2,0.0001,300.0,,,,1.0,1.0,100.0,1.0,8000.0,4050.0,40.0,,,500,3.0,1.0,3.0
1,20000,2,0.0001,3.0,,,,1.0,1.0,110.0,1.0,88.0,40.5,48.0,,,400,3.0,0.9,2.7
2,20000,2,0.0001,3.45,,,,1.0,1.0,121.0,1.0,88.0,40.5,57.0,,,320,3.0,0.99,2.97
3,20000,2,0.0001,2.93,,,,1.0,1.0,121.0,1.0,79.2,40.5,68.0,,,384,2.7,1.089,2.97
4,20000,2,0.0001,3.37,,,,1.0,1.0,133.0,1.0,71.28,40.5,81.0,,,307,2.7,1.089,2.97
5,20000,2,0.0001,3.37,,,,1.0,1.0,146.0,1.0,64.15,40.5,81.0,,,307,2.7,1.089,3.267
6,20000,2,0.0001,3.88,,,,1.0,1.0,160.0,1.0,57.73,40.5,64.0,,,245,2.43,0.98,3.267
7,20000,2,0.0001,4.46,,,,1.0,1.0,176.0,1.0,51.95,40.5,76.0,,,196,2.43,0.98,3.267
8,20000,2,0.0001,5.13,,,,1.0,1.0,158.0,1.0,46.75,40.5,60.0,,,196,2.673,1.078,3.594
9,20000,2,0.0001,5.9,,,,1.0,1.0,173.0,1.0,42.07,40.5,72.0,,,156,2.673,1.078,3.594
10,20000,2,0.0001,4.36,,,,1.0,1.0,158.0,1.0,51.42,40.5,72.0,,,196,2.94,1.078,3.594
11,20000,2,0.0001,4.36,,,,1.0,1.0,173.0,1.0,56.56,40.5,86.0,,,156,2.94,0.97,3.235
12,20000,2,0.0001,5.01,,,,1.0,1.0,190.0,1.0,50.9,40.5,103.0,,,124,2.94,0.97,3.235
13,20000,2,0.0001,5.76,,,,1.0,1.0,171.0,1.0,45.81,40.5,103.0,,,124,2.646,0.97,2.911
