,Capital,slippage,slippagePerCap,window_rolling,Y_threshold,max_hold_period,stopLossesPercent,takePercent,shift_param,time_barrier_param,variance_ratio_lookback,variance_ration_carette,result,total_pnl
111,100000,10,0.0001,639T,60.0,308T,"{'BuyLossPercent': 0.007333333333333334, 'SellLossPercent': 0.007333333333333334}","{'SellTakePercent': 0.022666666666666665, 'BuyTakePercent': 0.022666666666666665}",639,308,0 days 21:18:00,0 days 00:31:57,-0.9992,-418412.70490950526
112,100000,10,0.0001,328T,200.0,60T,"{'BuyLossPercent': 0.007333333333333334, 'SellLossPercent': 0.007333333333333334}","{'SellTakePercent': 0.048, 'BuyTakePercent': 0.048}",328,60,0 days 10:56:00,0 days 00:16:24,-1.0009,-91829.40826352697
113,100000,10,0.0001,225T,106.66666666666666,272T,"{'BuyLossPercent': 0.007333333333333334, 'SellLossPercent': 0.007333333333333334}","{'SellTakePercent': 0.01, 'BuyTakePercent': 0.01}",225,272,0 days 07:30:00,0 days 00:45:00,-0.9995,-127442.39605375279
114,100000,10,0.0001,742T,106.66666666666666,308T,"{'BuyLossPercent': 0.002, 'SellLossPercent': 0.002}","{'SellTakePercent': 0.048, 'BuyTakePercent': 0.048}",742,308,1 days 00:44:00,0 days 00:37:06,-0.9999,-3939180.0867957706
115,100000,10,0.0001,121T,153.33333333333331,450T,"{'BuyLossPercent': 0.007333333333333334, 'SellLossPercent': 0.007333333333333334}","{'SellTakePercent': 0.01, 'BuyTakePercent': 0.01}",121,450,0 days 04:02:00,0 days 00:24:12,-0.9384,-50829.483471078325
116,100000,10,0.0001,846T,153.33333333333331,450T,"{'BuyLossPercent': 0.012666666666666666, 'SellLossPercent': 0.012666666666666666}","{'SellTakePercent': 0.035333333333333335, 'BuyTakePercent': 0.035333333333333335}",846,450,1 days 04:12:00,0 days 02:49:12,-0.8349,-19722.67944570619
117,100000,10,0.0001,639T,153.33333333333331,308T,"{'BuyLossPercent': 0.018000000000000002, 'SellLossPercent': 0.018000000000000002}","{'SellTakePercent': 0.01, 'BuyTakePercent': 0.01}",639,308,0 days 21:18:00,0 days 00:31:57,-0.9983,-80974.28510650189
118,100000,10,0.0001,691T,153.33333333333331,343T,"{'BuyLossPercent': 0.012666666666666666, 'SellLossPercent': 0.012666666666666666}","{'SellTakePercent': 0.01, 'BuyTakePercent': 0.01}",691,343,0 days 23:02:00,0 days 00:34:33,-0.9929,-79797.77064841238
119,100000,10,0.0001,587T,200.0,130T,"{'BuyLossPercent': 0.007333333333333334, 'SellLossPercent': 0.007333333333333334}","{'SellTakePercent': 0.035333333333333335, 'BuyTakePercent': 0.035333333333333335}",587,130,0 days 19:34:00,0 days 01:57:24,-0.9809,-126320.17514593652
120,100000,10,0.0001,173T,60.0,95T,"{'BuyLossPercent': 0.012666666666666666, 'SellLossPercent': 0.012666666666666666}","{'SellTakePercent': 0.022666666666666665, 'BuyTakePercent': 0.022666666666666665}",173,95,0 days 05:46:00,0 days 00:34:36,-1.0015,-188853.81641018038
121,100000,10,0.0001,950T,60.0,379T,"{'BuyLossPercent': 0.012666666666666666, 'SellLossPercent': 0.012666666666666666}","{'SellTakePercent': 0.048, 'BuyTakePercent': 0.048}",950,379,1 days 07:40:00,0 days 03:10:00,-0.9992,-157875.94942327964
122,100000,10,0.0001,225T,60.0,95T,"{'BuyLossPercent': 0.012666666666666666, 'SellLossPercent': 0.012666666666666666}","{'SellTakePercent': 0.01, 'BuyTakePercent': 0.01}",225,95,0 days 07:30:00,0 days 00:11:15,-0.9997,-263342.6278486032
123,100000,10,0.0001,225T,153.33333333333331,414T,"{'BuyLossPercent': 0.002, 'SellLossPercent': 0.002}","{'SellTakePercent': 0.048, 'BuyTakePercent': 0.048}",225,414,0 days 07:30:00,0 days 00:11:15,-0.9974,-301094.6274192759
124,100000,10,0.0001,535T,153.33333333333331,130T,"{'BuyLossPercent': 0.007333333333333334, 'SellLossPercent': 0.007333333333333334}","{'SellTakePercent': 0.048, 'BuyTakePercent': 0.048}",535,130,0 days 17:50:00,0 days 00:26:45,-0.9858,-121666.07023626119
125,100000,10,0.0001,70T,153.33333333333331,450T,"{'BuyLossPercent': 0.007333333333333334, 'SellLossPercent': 0.007333333333333334}","{'SellTakePercent': 0.035333333333333335, 'BuyTakePercent': 0.035333333333333335}",70,450,0 days 02:20:00,0 days 00:14:00,-0.3508,-6086.629952775673
126,100000,10,0.0001,277T,60.0,201T,"{'BuyLossPercent': 0.002, 'SellLossPercent': 0.002}","{'SellTakePercent': 0.048, 'BuyTakePercent': 0.048}",277,201,0 days 09:14:00,0 days 00:13:51,-0.9998,-2626812.754883384
127,100000,10,0.0001,380T,200.0,272T,"{'BuyLossPercent': 0.002, 'SellLossPercent': 0.002}","{'SellTakePercent': 0.048, 'BuyTakePercent': 0.048}",380,272,0 days 12:40:00,0 days 00:19:00,-0.9997,-306397.54073428904
128,100000,10,0.0001,794T,106.66666666666666,308T,"{'BuyLossPercent': 0.002, 'SellLossPercent': 0.002}","{'SellTakePercent': 0.01, 'BuyTakePercent': 0.01}",794,308,1 days 02:28:00,0 days 02:38:48,-1.0,-4202077.4217984285
129,100000,10,0.0001,277T,60.0,237T,"{'BuyLossPercent': 0.002, 'SellLossPercent': 0.002}","{'SellTakePercent': 0.035333333333333335, 'BuyTakePercent': 0.035333333333333335}",277,237,0 days 09:14:00,0 days 00:13:51,-1.0,-2414156.447905485
